participant,pair,block,trial,match_label,match_shape,trial_type,trial_label,trial_shape,response,RTms,acc
207844,1,2,16,air,T.bmp,mismatch,earth,T.bmp,m,52.63209999975515,0
207844,1,2,17,air,T.bmp,match,air,T.bmp,m,12.14619999973365,1
207844,1,2,18,air,T.bmp,mismatch,sky,S.bmp,m,42.24199999998745,0
207844,1,2,19,air,T.bmp,mismatch,air,C.bmp,m,29.52219999997396,0
207844,1,2,20,air,T.bmp,match,air,T.bmp,m,50.06800000001021,1
207844,1,2,21,air,T.bmp,mismatch,earth,C.bmp,m,25.70399999967776,0
207844,1,2,22,air,T.bmp,match,air,T.bmp,m,29.31360000002314,1
207844,1,2,23,air,T.bmp,mismatch,earth,C.bmp,m,16.81839999992007,0
207844,1,2,24,air,T.bmp,mismatch,sky,S.bmp,m,38.4582000001501,0
207844,1,2,25,air,T.bmp,mismatch,earth,S.bmp,m,28.81329999991067,0
207844,1,2,26,air,T.bmp,mismatch,earth,C.bmp,m,54.53589999979158,0
207844,1,2,27,air,T.bmp,mismatch,sky,C.bmp,m,40.06780000008803,0
207844,1,2,28,air,T.bmp,mismatch,earth,C.bmp,m,22.20630000010715,0
207844,1,2,29,air,T.bmp,mismatch,sky,C.bmp,m,40.27050000013332,0
207844,1,2,30,air,T.bmp,mismatch,sky,S.bmp,m,35.28050000022631,0
207844,1,2,31,air,T.bmp,mismatch,air,S.bmp,m,39.69629999983226,0
207844,1,2,32,air,T.bmp,mismatch,sky,S.bmp,m,34.76349999982631,0
207844,1,2,33,air,T.bmp,mismatch,sky,S.bmp,m,53.19469999994908,0
207844,1,2,34,air,T.bmp,mismatch,air,S.bmp,m,42.9415999997218,0
207844,1,2,35,air,T.bmp,match,air,T.bmp,m,58.58279999984006,1
207844,1,2,36,air,T.bmp,mismatch,earth,S.bmp,m,51.06769999974858,0
207844,1,2,37,air,T.bmp,match,air,T.bmp,m,49.77559999997538,1
207844,1,2,38,air,T.bmp,mismatch,air,S.bmp,m,51.7558999999892,0
207844,1,2,39,air,T.bmp,mismatch,earth,S.bmp,m,11.20909999963259,0
207844,1,2,40,air,T.bmp,mismatch,air,C.bmp,m,45.39109999996071,0
207844,1,2,41,air,T.bmp,match,air,T.bmp,m,49.04250000026877,1
207844,1,2,42,air,T.bmp,match,air,T.bmp,m,57.40669999977399,1
207844,1,2,43,air,T.bmp,mismatch,air,S.bmp,m,46.94820000031541,0
207844,1,2,44,air,T.bmp,mismatch,air,S.bmp,m,78.11609999998836,0
207844,1,2,45,air,T.bmp,match,air,T.bmp,m,64.24359999982698,1
207844,1,2,46,air,T.bmp,mismatch,earth,T.bmp,m,52.67210000010891,0
207844,1,2,47,air,T.bmp,mismatch,air,C.bmp,m,42.82740000007834,0
207844,1,2,48,air,T.bmp,match,air,T.bmp,m,71.59319999982472,1
207844,1,2,49,air,T.bmp,match,air,T.bmp,m,62.44539999988774,1
207844,1,2,50,air,T.bmp,match,air,T.bmp,m,74.57119999980932,1
207844,1,2,51,air,T.bmp,match,air,T.bmp,m,60.67639999992025,1
207844,1,2,52,air,T.bmp,match,air,T.bmp,m,360.5757000000267,1
207844,1,2,53,air,T.bmp,mismatch,air,C.bmp,m,37.10869999986244,0
207844,1,2,54,air,T.bmp,mismatch,sky,S.bmp,m,43.17760000003545,0
207844,1,2,55,air,T.bmp,match,air,T.bmp,m,59.37029999995502,1
207844,1,2,56,air,T.bmp,match,air,T.bmp,m,72.73229999964315,1
207844,1,2,57,air,T.bmp,mismatch,air,C.bmp,m,62.285299999985,0
207844,1,2,58,air,T.bmp,match,air,T.bmp,m,408.0160000003161,1
207844,1,2,59,air,T.bmp,mismatch,sky,C.bmp,m,273.5742999998365,0
207844,1,2,60,air,T.bmp,mismatch,earth,T.bmp,m,1166.1957999999686,0
207844,2,1,1,earth,S.bmp,match,earth,S.bmp,m,1041.3727000000108,1
207844,2,1,2,earth,S.bmp,match,earth,S.bmp,m,172.87100000021385,1
207844,2,1,3,earth,S.bmp,mismatch,air,T.bmp,m,33.63910000007308,0
207844,2,1,4,earth,S.bmp,mismatch,sky,T.bmp,m,66.87569999985499,0
207844,2,1,5,earth,S.bmp,mismatch,earth,C.bmp,m,44.74210000034873,0
207844,2,1,6,earth,S.bmp,match,earth,S.bmp,m,46.6630000000805,1
207844,2,1,7,earth,S.bmp,match,earth,S.bmp,m,35.87620000007519,1
207844,2,1,8,earth,S.bmp,match,earth,S.bmp,m,16.02309999998397,1
207844,2,1,9,earth,S.bmp,mismatch,air,T.bmp,m,51.09290000018518,0
207844,2,1,10,earth,S.bmp,mismatch,earth,T.bmp,m,33.21310000001176,0
207844,2,1,11,earth,S.bmp,mismatch,sky,C.bmp,m,49.07069999990199,0
207844,2,1,12,earth,S.bmp,match,earth,S.bmp,m,46.36229999960051,1
207844,2,1,13,earth,S.bmp,mismatch,air,T.bmp,m,36.02220000038869,0
207844,2,1,14,earth,S.bmp,mismatch,sky,T.bmp,m,36.1456000000544,0
207844,2,1,15,earth,S.bmp,mismatch,air,C.bmp,m,29.25400000003719,0
207844,2,1,16,earth,S.bmp,mismatch,earth,T.bmp,m,38.03090000019438,0
207844,2,1,17,earth,S.bmp,mismatch,air,S.bmp,m,36.66309999971418,0
