tasks_loop.thisRepN,tasks_loop.thisTrialN,tasks_loop.thisN,tasks_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,define_tasks.started,define_tasks.stopped,parameters.started,parameters.stopped,select_task_and_match_pairs.started,select_task_and_match_pairs.stopped,show_match_pairs.started,instructions.started,key_resp.started,match1label.started,match2label.started,match3label.started,match1shape.started,match2shape.started,match3shape.started,show_match_pairs.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_block_count.started,init_block_count.stopped,increment_block_count.started,increment_block_count.stopped,define_trial_list.started,define_trial_list.stopped,decide_what_pair.started,decide_what_pair.stopped,fix.started,fixn.started,fixn.stopped,fix.stopped,show_a_pair.started,text_2.started,put_label.started,put_shape.started,response.started,show_a_pair.stopped,response.keys,response.rt,response.duration,eval.started,eval.stopped,feedback.started,text_4.started,feedback.stopped,write.started,task,block_count,match_1_label,match_1_shape,match_2_label,match_2_shape,match_3_label,match_3_shape,trial_index,trial_type,label,shape,response,rt,acc,write.stopped,text_4.stopped,rest.started,text.started,key_resp_2.started,rest.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,the_end.started,text_3.started,the_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,0,0,0,0,1.3312369000004765,,0.015085900000485708,0.015422200000102748,0.015434599999935017,0.015624900000148045,0.016140200000336336,0.016291800000544754,0.016300000000228465,0.06997630000023491,0.06997630000023491,0.06997630000023491,0.06997630000023491,0.06997630000023491,0.06997630000023491,0.06997630000023491,0.06997630000023491,1.3158825000000434,space,1.2380511999999726,None,1.3167389000000185,1.3172660000000178,1.3181586000000607,1.318677100000059,1.3187026000005062,1.319274000000405,1.3202963000003365,1.3209037000005992,1.3209295000006023,1.3312369000004765,1.5471932999998899,1.51577990000078,1.5158182000004672,1.5471932999998899,1.5471932999998899,1.5471932999998899,1.5471932999998899,2.3804242000005615,m,0.8251652999997532,None,2.3813254000006054,2.381742900000063,2.3817673000003197,2.396207499999946,2.6319892999999865,2.6320111000004545,reward,1,£0,D.bmp,£50,O.bmp,£100,P.bmp,0,mismatch,£50,D.bmp,m,0.8251652999997532,0,2.632814600000529,,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
0,0,0,0,0,0,0,0,1,0,1,0,2.6459875000000466,,,,,,,,,,,,,,,,,,,,,,,,,,,2.633639700000458,2.634225400000105,2.634266000000025,2.6459875000000466,2.8623044000005393,2.831301400000484,2.8313404999998966,2.8623044000005393,2.8623044000005393,2.8623044000005393,2.8623044000005393,3.113515300000472,n,0.2434283000002324,None,3.1143817000001945,3.114945300000727,3.1149837000002663,3.1287083000006533,3.3647568000005776,3.3648046000007525,reward,1,£0,D.bmp,£50,O.bmp,£100,P.bmp,1,match1,£0,D.bmp,n,0.2434283000002324,0,3.36582559999988,3.37987990000056,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
0,0,0,0,0,0,0,0,2,0,2,0,3.37987990000056,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3672661999999036,3.3684197000002314,3.368475000000217,3.37987990000056,3.5945996999998897,3.5640581000006932,3.564100999999937,3.5945996999998897,3.5945996999998897,3.5945996999998897,3.5945996999998897,3.7965586000000258,m,0.18539919999966514,None,3.797580100000232,3.7982348000005004,3.798267800000758,3.8274983000001157,4.062481200000548,4.062511400000403,reward,1,£0,D.bmp,£50,O.bmp,£100,P.bmp,2,match3,£100,P.bmp,m,0.18539919999966514,1,4.063802800000303,,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
0,0,0,0,0,0,0,0,3,0,3,0,4.078811200000018,,,,,,,,,,,,,,,,,,,,,,,,,,,4.065084600000773,4.065993900000649,4.066040800000337,4.078811200000018,4.293923600000198,4.263699000000088,4.263747300000432,4.293923600000198,4.293923600000198,4.293923600000198,4.293923600000198,4.361065200000667,n,0.05228389999956562,None,4.361631800000396,4.362003700000059,4.3620205000006536,4.377244799999971,4.612225300000318,4.612259800000174,reward,1,£0,D.bmp,£50,O.bmp,£100,P.bmp,3,match2,£50,O.bmp,n,0.05228389999956562,0,4.613020400000096,4.6273948000007294,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
0,0,0,0,0,0,0,0,4,0,4,0,4.6273948000007294,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61406530000022,4.614824100000078,4.61486160000004,4.6273948000007294,4.827600900000107,4.81170210000073,4.811736100000417,4.827600900000107,4.827600900000107,4.827600900000107,4.827600900000107,5.42834220000077,m,0.5948995999997351,None,5.429408800000601,5.430124299999989,5.430159000000458,5.442222000000584,5.677126999999928,5.677156300000206,reward,1,£0,D.bmp,£50,O.bmp,£100,P.bmp,4,mismatch,£50,P.bmp,m,0.5948995999997351,0,5.677824600000349,5.693491200000608,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
0,0,0,0,0,0,0,0,5,0,5,0,5.693491200000608,,,,,,,,,,,,,,,,,,,,,,,,,,,5.678680200000599,5.6793078999999125,5.679340000000593,5.693491200000608,5.908783400000175,5.87754010000026,5.877576200000476,5.908783400000175,5.908783400000175,5.908783400000175,5.908783400000175,6.059783000000607,n,0.14340459999948507,None,6.060602999999901,6.061143300000367,6.061168500000349,6.07555290000073,6.310130500000014,6.310162400000081,reward,1,£0,D.bmp,£50,O.bmp,£100,P.bmp,5,mismatch,£100,D.bmp,n,0.14340459999948507,1,6.310889600000337,6.325346399999944,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
0,0,0,0,0,0,0,0,6,0,6,0,6.325346399999944,,,,,,,,,,,,,,,,,,,,,,,,,,,6.311840500000471,6.312519000000066,6.312553000000662,6.325346399999944,6.524215400000685,6.509896900000058,6.509928600000421,6.524215400000685,6.524215400000685,6.524215400000685,6.524215400000685,6.79290470000069,m,0.2627119999997376,None,6.793913400000747,6.794553800000358,6.794585200000256,6.807704300000296,7.043496000000232,7.0435448000007455,reward,1,£0,D.bmp,£50,O.bmp,£100,P.bmp,6,mismatch,£50,D.bmp,m,0.2627119999997376,0,7.044650700000602,7.0585651999999754,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
0,0,0,0,0,0,0,0,7,0,7,0,7.0585651999999754,,,,,,,,,,,,,,,,,,,,,,,,,,,7.046044100000472,7.04714630000035,7.047199100000398,7.0585651999999754,,7.257146400000238,7.257169700000304,7.274039200000516,7.274039200000516,7.274039200000516,7.274039200000516,7.506981200000155,n,0.2289624000004551,None,7.507549400000244,7.5079396000001,7.507957400000123,7.522587299999941,7.757567000000563,7.75760210000044,reward,1,£0,D.bmp,£50,O.bmp,£100,P.bmp,7,mismatch,£100,O.bmp,n,0.2289624000004551,1,7.758409500000198,7.772869299999911,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
0,0,0,0,0,0,0,0,8,0,8,0,7.772869299999911,,,,,,,,,,,,,,,,,,,,,,,,,,,7.759406500000296,7.760262100000546,7.760300200000529,7.772869299999911,7.972464200000104,7.956895900000745,7.956927500000347,7.972464200000104,7.972464200000104,7.972464200000104,7.972464200000104,8.189829500000087,m,0.20436100000006263,None,8.190500100000463,8.190984600000775,8.191006400000333,8.20506000000023,8.438743100000465,8.43875780000053,reward,1,£0,D.bmp,£50,O.bmp,£100,P.bmp,8,mismatch,£100,D.bmp,m,0.20436100000006263,0,8.43906220000008,8.454712100000506,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
0,0,0,0,0,0,0,0,9,0,9,0,8.454712100000506,,,,,,,,,,,,,,,,,,,,,,,,,,,8.439464000000044,8.439739000000372,8.439751599999909,8.454712100000506,8.654991600000358,8.639978400000473,8.640019600000414,8.654991600000358,8.654991600000358,8.654991600000358,8.654991600000358,8.940622099999928,n,0.2688856000004307,None,8.94177690000015,8.94249149999996,8.942546400000538,8.954928800000744,9.189059199999974,9.189086700000189,reward,1,£0,D.bmp,£50,O.bmp,£100,P.bmp,9,match2,£50,O.bmp,n,0.2688856000004307,0,9.189708100000644,9.20427170000039,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
