tasks_loop.thisRepN,tasks_loop.thisTrialN,tasks_loop.thisN,tasks_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,define_tasks.started,define_tasks.stopped,parameters.started,parameters.stopped,select_task_and_match_pairs.started,select_task_and_match_pairs.stopped,show_match_pairs.started,instructions.started,key_resp.started,match1label.started,match2label.started,match3label.started,match1shape.started,match2shape.started,match3shape.started,show_match_pairs.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_block_count.started,init_block_count.stopped,increment_block_count.started,increment_block_count.stopped,define_trial_list.started,define_trial_list.stopped,decide_what_pair.started,decide_what_pair.stopped,fix.started,fixn.started,fixn.stopped,fix.stopped,show_a_pair.started,text_2.started,put_label.started,put_shape.started,response.started,show_a_pair.stopped,response.keys,response.rt,response.duration,eval.started,eval.stopped,feedback.started,text_4.started,text_4.stopped,feedback.stopped,write.started,task,block_count,match_1_label,match_1_shape,match_2_label,match_2_shape,match_3_label,match_3_shape,trial_index,trial_type,label,shape,response,rt,acc,write.stopped,rest.started,text.started,key_resp_2.started,rest.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,the_end.started,text_3.started,the_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,10,0,10,0,8.353524600000128,,,,,,,,,,,,,,,,,,,,,,,,,,,8.339457899999616,8.339949700000034,8.33997410000029,8.353524600000128,8.554206200000408,8.53900160000012,8.539032200000293,8.554206200000408,8.554206200000408,8.554206200000408,8.554206200000408,8.571945900000173,m,0.015766500000609085,None,8.572683399999733,8.573196199999984,8.573220500000389,8.587369300000319,8.838641399999688,8.824367299999722,8.824415400000362,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,10,mismatch,£0,D.bmp,m,0.015766500000609085,0,8.825495600000067,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,11,0,11,0,8.838641399999688,,,,,,,,,,,,,,,,,,,,,,,,,,,8.826834499999677,8.82781950000026,8.827874200000224,8.838641399999688,,9.03889429999981,9.038933099999667,9.069218100000398,9.069218100000398,9.069218100000398,9.069218100000398,9.155297500000415,m,0.07310850000067148,None,9.156197000000247,9.156797300000107,9.156826399999773,9.169320400000288,9.418904799999837,9.403534000000036,9.403558699999849,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,11,match2,£100,O.bmp,m,0.07310850000067148,1,9.40410030000021,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,12,0,12,0,9.418904799999837,,,,,,,,,,,,,,,,,,,,,,,,,,,9.404793499999869,9.405240400000366,9.405273000000307,9.418904799999837,9.618540800000119,9.602499900000112,9.602513800000452,9.618540800000119,9.618540800000119,9.618540800000119,9.618540800000119,9.735969399999703,m,0.10598639999989246,None,9.736398900000495,9.736692800000128,9.736706100000447,9.751649300000281,10.001349400000436,9.985332399999606,9.985348000000158,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,12,match1,£0,P.bmp,m,0.10598639999989246,1,9.98569260000022,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,13,0,13,0,10.001349400000436,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98610860000008,9.986404899999798,9.986418000000413,10.001349400000436,10.201068999999734,10.185074300000451,10.185093400000369,10.201068999999734,10.201068999999734,10.201068999999734,10.201068999999734,10.285761799999818,m,0.08204729999943083,None,10.28646099999969,10.286948799999664,10.286971300000005,10.301298299999871,10.551313900000423,10.535198599999603,10.535240799999883,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,13,match2,£100,O.bmp,m,0.08204729999943083,1,10.535844300000463,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,14,0,14,0,10.551313900000423,,,,,,,,,,,,,,,,,,,,,,,,,,,10.536571300000105,10.537165800000366,10.537193000000116,10.551313900000423,10.750211900000068,10.735332500000368,10.735357300000032,10.750211900000068,10.750211900000068,10.750211900000068,10.750211900000068,10.86826209999981,m,0.11023310000018682,None,10.868810900000426,10.869162300000426,10.869179399999666,10.883244499999819,11.13312120000046,11.11782409999978,11.117843199999697,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,14,mismatch,£0,D.bmp,m,0.11023310000018682,0,11.11830110000028,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,15,0,15,0,11.13312120000046,,,,,,,,,,,,,,,,,,,,,,,,,,,11.118832899999688,11.119264799999655,11.119283900000482,11.13312120000046,11.333656800000426,11.317690599999878,11.317720199999712,11.333656800000426,11.333656800000426,11.333656800000426,11.333656800000426,11.353522299999895,n,0.015073300000040035,None,11.354768199999853,11.355569600000308,11.355612199999996,11.368280100000447,11.61724090000007,11.602065000000039,11.602102200000445,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,15,match2,£100,O.bmp,n,0.015073300000040035,0,11.60300350000034,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,16,0,16,0,11.61724090000007,,,,,,,,,,,,,,,,,,,,,,,,,,,11.604081399999814,11.604839499999798,11.604880300000332,11.61724090000007,11.816584899999725,11.801419800000076,11.801451299999826,11.816584899999725,11.816584899999725,11.816584899999725,11.816584899999725,11.850094600000375,m,0.020617899999706424,None,11.85070369999994,11.85109459999967,11.851114000000052,11.865703000000394,12.115866899999673,12.100883500000236,12.100915400000304,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,16,mismatch,£100,P.bmp,m,0.020617899999706424,0,12.101713699999891,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,17,0,17,0,12.115866899999673,,,,,,,,,,,,,,,,,,,,,,,,,,,12.102612200000294,12.103365400000257,12.103399999999965,12.115866899999673,12.316760499999873,12.302102100000411,12.302142800000183,12.316760499999873,12.316760499999873,12.316760499999873,12.316760499999873,12.35057179999967,m,0.030562299999473908,None,12.351322900000014,12.351809499999945,12.351833699999588,12.364990000000034,12.617030899999918,12.599978799999917,12.600009800000407,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,17,mismatch,£100,D.bmp,m,0.030562299999473908,0,12.600746000000072,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,18,0,18,0,12.617030899999918,,,,,,,,,,,,,,,,,,,,,,,,,,,12.601627600000029,12.602326600000197,12.602360699999736,12.617030899999918,,12.815340600000127,12.81536320000032,12.831998599999679,12.831998599999679,12.831998599999679,12.831998599999679,12.901063700000122,m,0.06735029999981634,None,12.902112200000374,12.902758400000494,12.902792599999884,12.93146760000036,,13.164207099999658,13.1642281000004,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,18,match2,£100,O.bmp,m,0.06735029999981634,1,13.164971700000024,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,19,0,19,0,13.181437600000208,,,,,,,,,,,,,,,,,,,,,,,,,,,13.165652599999703,13.166419799999858,13.166445099999692,13.181437600000208,13.380722599999899,13.365671100000327,13.365706900000077,13.380722599999899,13.380722599999899,13.380722599999899,13.380722599999899,13.498747700000422,m,0.11007619999963936,None,13.499715199999628,13.500339799999892,13.500371299999642,13.514000799999849,13.763849400000254,13.749202900000455,13.74924220000048,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,19,match1,£0,P.bmp,m,0.11007619999963936,1,13.75016659999983,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,20,0,20,0,13.763849400000254,,,,,,,,,,,,,,,,,,,,,,,,,,,13.751239999999598,13.752042899999651,13.752085299999635,13.763849400000254,13.96330560000024,13.949464700000135,13.949512600000162,13.96330560000024,13.96330560000024,13.96330560000024,13.96330560000024,14.113692699999774,m,0.13561989999925572,None,14.11424369999986,14.114583100000345,14.114599700000326,14.12910550000015,14.379296199999771,14.36508159999994,14.365124599999945,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,20,mismatch,£100,D.bmp,m,0.13561989999925572,0,14.366078600000037,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,21,0,21,0,14.379296199999771,,,,,,,,,,,,,,,,,,,,,,,,,,,14.367309000000205,14.368011800000204,14.36804360000042,14.379296199999771,14.595517599999766,14.565167800000381,14.565214999999625,14.595517599999766,14.595517599999766,14.595517599999766,14.595517599999766,14.696555900000021,m,0.09049820000018372,None,14.697327800000494,14.697816099999727,14.697839999999815,14.71212319999995,14.961639699999978,14.94639509999979,14.946421999999984,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,21,mismatch,£0,O.bmp,m,0.09049820000018372,0,14.947052399999848,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,22,0,22,0,14.961639699999978,,,,,,,,,,,,,,,,,,,,,,,,,,,14.947847600000387,14.948433000000477,14.948462199999994,14.961639699999978,15.161168200000247,15.14674869999999,15.146778799999993,15.161168200000247,15.161168200000247,15.161168200000247,15.161168200000247,15.248856899999737,m,0.0790102000000843,None,15.250455999999758,15.251627100000405,15.251680800000031,15.262612700000318,15.511242399999901,15.496357900000476,15.496381900000415,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,22,mismatch,£50,O.bmp,m,0.0790102000000843,0,15.496992700000192,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
