blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choose_match_pair.started,choose_match_pair.stopped,trial_list.started,trial_list.stopped,learn_me.started,text_2.started,text.started,image.started,dismiss_learn.started,learn_me.stopped,dismiss_learn.keys,dismiss_learn.rt,dismiss_learn.duration,choose_mismatch_pair.started,match_label,match_shape,mismatch_label,mismatch_shape,choose_mismatch_pair.stopped,choose_trial_type.started,trial_type,trial_index,trial_label,trial_shape,choose_trial_type.stopped,fix_cross.started,text_4.started,fix_cross.stopped,put.started,put_label.started,put_shape.started,trial_response.started,put.stopped,trial_response.keys,trial_response.rt,trial_response.duration,eval.started,acc,eval.stopped,text_4.stopped,rest_period.started,text_3.started,rest_period_kb.started,rest_period.stopped,rest_period_kb.keys,rest_period_kb.rt,rest_period_kb.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,26,0,26,0,31.61457679999876,,,,,,,,,,,,,,,31.599848199999542,£50,D.bmp,£0,O.bmp,31.600119200000336,31.600132100000337,mismatch,26,£0,O.bmp,31.600388200000452,31.600401199999396,31.61457679999876,32.09867730000042,32.09868970000025,32.11542249999911,32.11542249999911,32.11542249999911,32.16576899999927,n,0.03980529999898863,None,32.16635359999964,1,32.16660779999984,32.11542249999911,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,27,0,27,0,32.18171880000045,,,,,,,,,,,,,,,32.16702239999904,£50,D.bmp,£50,P.bmp,32.16728979999971,32.1673023000003,mismatch,27,£50,P.bmp,32.16755329999978,32.16756619999978,32.18171880000045,32.66581709999991,32.665828999999576,32.682668999999805,32.682668999999805,32.682668999999805,32.732874499999525,n,0.04055990000051679,None,32.73345479999989,1,32.733705999999074,32.682668999999805,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,28,0,28,0,32.7489201999997,,,,,,,,,,,,,,,32.734122099998785,£50,D.bmp,£0,D.bmp,32.734387000000424,32.734399900000426,match,28,£50,D.bmp,32.734652999999525,32.73466589999953,32.7489201999997,33.23302220000005,33.233034200000475,33.249799899998834,33.249799899998834,33.249799899998834,33.2667634999998,n,0.010221799999271752,None,33.26735000000008,0,33.26760309999918,33.249799899998834,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,29,0,29,0,33.282761200000095,,,,,,,,,,,,,,,33.26801829999931,£50,D.bmp,£50,O.bmp,33.268282799999724,33.26829580000049,mismatch,29,£50,O.bmp,33.268548799998825,33.26856140000018,33.282761200000095,33.76684269999896,33.766854699999385,33.78361670000049,33.78361670000049,33.78361670000049,33.83388240000022,n,0.03645599999981641,None,33.83446509999885,1,33.83472129999973,33.78361670000049,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,30,0,30,0,33.84995439999875,,,,,,,,,,,,,,,33.83513870000024,£50,D.bmp,£50,P.bmp,33.835405300000275,33.83541829999922,match,30,£50,D.bmp,33.835671799999545,33.83568469999955,33.84995439999875,34.333970800000316,34.333983000000444,34.3508712999992,34.3508712999992,34.3508712999992,34.43442789999972,m,0.06866400000035355,None,34.43502780000017,1,34.43528849999893,34.3508712999992,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,31,0,31,0,34.45048859999952,,,,,,,,,,,,,,,34.435716899999534,£50,D.bmp,£100,P.bmp,34.435984100000496,34.435997399999906,mismatch,31,£100,P.bmp,34.436261799999556,34.43627469999956,34.45048859999952,34.934663199999704,34.9346757000003,34.951415199999246,34.951415199999246,34.951415199999246,34.98496720000003,m,0.02822120000018913,None,34.98554979999972,0,34.98579989999962,34.951415199999246,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,32,0,32,0,35.001005899999655,,,,,,,,,,,,,,,34.98621590000039,£50,D.bmp,£50,O.bmp,34.98647979999987,34.986492799998814,match,32,£50,D.bmp,34.98672830000032,34.98674109999956,35.001005899999655,35.4852049000001,35.4852164999993,35.50194129999909,35.50194129999909,35.50194129999909,35.73575729999902,n,0.22940140000173415,None,35.73635909999939,0,35.736615099998744,35.50194129999909,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,33,0,33,0,35.75156969999989,,,,,,,,,,,,,,,35.737045099998795,£50,D.bmp,£100,P.bmp,35.73732159999963,35.73733429999993,mismatch,33,£100,P.bmp,35.73758749999979,35.73760029999903,35.75156969999989,36.235832700000174,36.235844999999244,36.25258059999942,36.25258059999942,36.25258059999942,36.28621419999945,m,0.02343250000012631,None,36.28679059999922,0,36.28704649999963,36.25258059999942,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,34,0,34,0,36.302095299999564,,,,,,,,,,,,,,,36.28746130000036,£50,D.bmp,£100,O.bmp,36.287727099999756,36.28773999999976,mismatch,34,£100,O.bmp,36.28799649999928,36.28800930000034,36.302095299999564,36.786319200000435,36.786330999999336,36.803067400000145,36.803067400000145,36.803067400000145,37.12017399999968,m,0.3123432000011235,None,37.1207615000003,0,37.12101149999944,36.803067400000145,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,35,0,35,0,37.13629889999902,,,,,,,,,,,,,,,37.12143130000004,£50,D.bmp,£0,O.bmp,37.121695899999395,37.121708799999396,mismatch,35,£0,O.bmp,37.12196179999955,37.121974699999555,37.13629889999902,37.62040329999945,37.6204144000003,37.63723989999926,37.63723989999926,37.63723989999926,37.80429579999873,n,0.16611069999999017,None,37.80489829999897,1,37.80515500000001,37.63723989999926,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
